primary_genre,supergenre
Reggae-pop,Reggae/Caribbean
Reggaeton,Latin
Reggaeton chileno,Latin
Reggaeton colombiano,Latin
Reggaeton cristiano,Latin
Reggaeton flow,Latin
Reggaeton mexicano,Latin
Regional mexicano femenil,Latin
Reiki,New Age/Meditation
Relaxative,New Age/Meditation
Religious,R&B/Soul
Remix product,Pop
Renaissance,Classical/Orchestral
Rennes indie,Alternative/Indie
Requiem,Classical/Orchestral
Retro metal,Metal
Retro soul,R&B/Soul
Reunion pop,Pop
Rez country,Country/Americana
Rhapsody,Classical/Orchestral
Rhode island indie,Alternative/Indie
Rhode island rap,Hip Hop/Rap
Rhythm & blues,R&B/Soul
Rhythm and blues,R&B/Soul
Rhythm and boogie,R&B/Soul
Rhythm game,Soundtrack/Instrumental
Rhythm rock,Rock
Rhythmic noise,Ambient & Experimental Electronic
Riddim,Bass Music
Riddim dubstep,Bass Music
Rif,World/Traditional
Ringtone,Pop
Rio grande do sul indie,Alternative/Indie
Riot grrrl,Punk/Hardcore
Ritmo kombina,Latin
Ritual ambient,Ambient & Experimental Electronic
Rkt,Hip Hop/Rap
Rnb/swing,R&B/Soul
Rochester mn indie,Alternative/Indie
Rochester ny indie,Alternative/Indie
Rock,Rock
Rock & roll,Rock
Rock abc paulista,Rock
Rock alagoano,Rock
Rock alternatif francais,Rock
Rock alternativo brasileiro,Rock
Rock alternativo espanol,Rock
Rock andaluz,Rock
Rock baiano,Rock
Rock brasiliense,Rock
Rock caipira,Rock
Rock campineiro,Rock
Rock catala,Rock
Rock catarinense,Rock
Rock catracho,Rock
Rock cearense,Rock
Rock chapin,Rock
Rock cristao fluminense,Rock
Rock cristiano,Rock
Rock curitibano,Rock
Rock dominicano,Rock
Rock drums,Rock
Rock en asturiano,Rock
Rock en espanol,Rock
Rock gaucho,Rock
Rock goiano,Rock
Rock gospel brasileiro,Rock
Rock gotico,Rock
Rock in opposition,Alternative/Indie
Rock independant francais,Rock
Rock kapak,Rock
Rock keyboard,Rock
Rock mineiro,Rock
Rock nacional,Rock
Rock nacional brasileiro,Rock
Rock nacional feminino,Rock
Rock nica,Rock
Rock noise,Rock
Rock of gibraltar,Rock
Rock opera,Rock
Rock paraense,Rock
Rock paraibano,Rock
Rock pernambucano,Rock
Rock piauiense,Rock
Rock potiguar,Rock
Rock progresivo mexicano,Rock
Rock progressif francais,Rock
Rock quebecois,Rock
Rock sergipano,Rock
Rock sul-mato-grossense,Rock
Rock tico,Rock
Rock urbano mexicano,Rock
Rock uruguayo,Rock
Rock viet,Rock
Rock-and-roll,Rock
Rockabilly,Rock
Rockabilly en espanol,Rock
Rocksteady,Reggae/Caribbean
Roda de samba,Latin
Rogaland indie,Alternative/Indie
Rogaland musikk,Folk/Acoustic
Romani,World/Traditional
Romanian black metal,Metal
Romanian classical piano,Classical/Orchestral
Romanian contemporary classical,Classical/Orchestral
Romanian electronic,House & EDM
Romanian folk,Folk/Acoustic
Romanian house,House & EDM
Romanian indie,Alternative/Indie
Romanian metal,Metal
Romanian pop,Pop
Romanian rap,Hip Hop/Rap
Romanian rock,Rock
Romanian trap,Hip Hop/Rap
Romantic,Classical/Orchestral
Romantico,Latin
Rome indie,Alternative/Indie
Rominimal,House & EDM
Rongmei pop,Pop
Roots americana,Country/Americana
Roots reggae,Reggae/Caribbean
Roots rock,Rock
Roots worship,R&B/Soul
Rosario indie,Alternative/Indie
Rosary,World/Traditional
Rotterdam indie,Alternative/Indie
Rozpravky,Novelty/Spoken Word
Rumba,Latin
Rumba catalana,World/Traditional
Rumba congolaise,World/Traditional
Rumeli turkuleri,World/Traditional
Rune folk,Folk/Acoustic
Rune singing,World/Traditional
Russelater,Pop
Russian alt pop,Pop
Russian alternative rock,Alternative/Indie
Russian black metal,Metal
Russian ccm,R&B/Soul
Russian chanson,Pop
Russian choir,Classical/Orchestral
Russian classical piano,Classical/Orchestral
Russian contemporary classical,Classical/Orchestral
Russian dance,House & EDM
Russian dance pop,Pop
Russian death metal,Metal
Russian dnb,Bass Music
Russian drain,Hip Hop/Rap
Russian drill,Hip Hop/Rap
Russian edm,House & EDM
Russian electronic,House & EDM
Russian emo,Punk/Hardcore
Russian emo rap,Hip Hop/Rap
Russian experimental electronic,Ambient & Experimental Electronic
Russian folk,Folk/Acoustic
Russian folk metal,Metal
Russian folk rock,Rock
Russian gangster rap,Hip Hop/Rap
Russian grime,Hip Hop/Rap
Russian hardcore,Punk/Hardcore
Russian heavy metal,Metal
Russian hip hop,Hip Hop/Rap
Russian hyperpop,Pop
Russian indie,Alternative/Indie
Russian indie rock,Alternative/Indie
Russian jazz,Jazz
Russian metal,Metal
Russian metalcore,Metal
Russian modern classical,Classical/Orchestral
Russian modern jazz,Jazz
Russian nu metal,Metal
Russian oi,Punk/Hardcore
Russian old school hip hop,Hip Hop/Rap
Russian orchestra,Classical/Orchestral
Russian pixel,Ambient & Experimental Electronic
Russian plugg,Hip Hop/Rap
Russian pop,Pop
Russian pop punk,Punk/Hardcore
Russian post-punk,Rock
Russian post-rock,Alternative/Indie
Russian power metal,Metal
Russian punk,Punk/Hardcore
Russian punk rock,Punk/Hardcore
Russian rave,House & EDM
Russian reggae,Reggae/Caribbean
Russian rock,Rock
Russian romance,Pop
Russian romanticism,Classical/Orchestral
Russian screamo,Punk/Hardcore
Russian shoegaze,Alternative/Indie
Russian ska,Reggae/Caribbean
Russian synthpop,Pop
Russian techno,Techno & Trance
Russian thrash metal,Metal
Russian trance,Techno & Trance
Russian trap,Hip Hop/Rap
Russian trap metal,Hip Hop/Rap
Russian underground rap,Hip Hop/Rap
Russian viral pop,Pop
Russian viral rap,Hip Hop/Rap
Russian witch house,Ambient & Experimental Electronic
Rusyn folk,Folk/Acoustic
Ruta destroy,Hip Hop/Rap
Rva indie,Alternative/Indie
Rwandan gospel,R&B/Soul
Rwandan hip hop,Hip Hop/Rap
Rwandan pop,Pop
Rwandan traditional,World/Traditional
Ryukoka,Pop
Ryukyu ongaku,World/Traditional
Ryå«kåka,Pop
Råkyoku,Pop
Sacramento hip hop,Hip Hop/Rap
Sacramento indie,Alternative/Indie
Sacred harp,R&B/Soul
Sacred steel,Country/Americana
Sad lo-fi,Hip Hop/Rap
Sad rap,Hip Hop/Rap
Sad sierreno,Latin
Salay,World/Traditional
Salegy,World/Traditional
Salon music,Pop
Salsa,Latin
Salsa choke,Latin
Salsa colombiana,Latin
Salsa cristiana,Latin
Salsa cubana,Latin
Salsa international,Latin
Salsa peruana,Latin
Salsa puertorriquena,Latin
Salsa urbana,Latin
Salsa venezolana,Latin
Salzburg indie,Alternative/Indie
Samba,Latin
Samba de roda,Latin
Samba gospel,Latin
Samba moderno,Latin
Samba paulista,Latin
Samba reggae,Latin
Samba-canã§ã£o,Latin
Samba-enredo,Latin
Samba-jazz,Jazz
Samba-rock,Latin
Sambalpuri pop,Pop
Sambass,Latin
Sami,World/Traditional
Samoan pop,Pop
Samurai trap,Hip Hop/Rap
San antonio indie,Alternative/Indie
San antonio rap,Hip Hop/Rap
San diego indie,Alternative/Indie
San diego rap,Hip Hop/Rap
San marcos tx indie,Alternative/Indie
Sandalwood,Soundtrack/Instrumental
Sanfona,Latin
Sankyoku,World/Traditional
Santa fe indie,Alternative/Indie
Santali pop,Pop
Santur,World/Traditional
Saraiki pop,Pop
Sarangi,World/Traditional
Sardinia indie,Alternative/Indie
Sarod,World/Traditional
Saskatchewan indie,Alternative/Indie
Sasscore,Alternative/Indie
Saxony metal,Metal
Saxophone trio,Jazz
Scam rap,Hip Hop/Rap
Scandinavian r&b,R&B/Soul
Scandipop,Pop
Scenecore,Metal
Schlager,Pop
School choir,Classical/Orchestral
School ensemble,Classical/Orchestral
Schrammelmusik,Folk/Acoustic
Schranz,Techno & Trance
Schweizer rap,Hip Hop/Rap
Schwyzerorgeli,Folk/Acoustic
Sci-fi metal,Metal
Score,Soundtrack/Instrumental
Scorecore,Soundtrack/Instrumental
Scottish americana,Country/Americana
Scottish drill,Hip Hop/Rap
Scottish electronic,House & EDM
Scottish fiddle,Folk/Acoustic
Scottish folk,Folk/Acoustic
Scottish gaelic folk,Folk/Acoustic
Scottish hip hop,Hip Hop/Rap
Scottish indie,Alternative/Indie
Scottish indie folk,Folk/Acoustic
Scottish indie rock,Alternative/Indie
Scottish jazz,Jazz
Scottish metal,Metal
Scottish new wave,Rock
Scottish rock,Rock
Scottish singer-songwriter,Folk/Acoustic
Scottish smallpipe,Folk/Acoustic
Scottish techno,Techno & Trance
Scouse rap,Hip Hop/Rap
Scratch,Hip Hop/Rap
Scream rap,Hip Hop/Rap
Screamo,Punk/Hardcore
Screamocore,Punk/Hardcore
Screw,Hip Hop/Rap
Sda choir,Classical/Orchestral
Sea shanties,Folk/Acoustic
Sean-nos singing,Folk/Acoustic
Sean-nã³s,Folk/Acoustic
Seattle hip hop,Hip Hop/Rap
Seattle indie,Alternative/Indie
Seattle metal,Metal
Sebene,World/Traditional
Second line,Jazz
Seemannslieder,Folk/Acoustic
Sefardi,World/Traditional
Sega,Reggae/Caribbean
Sega mauricien,Reggae/Caribbean
Seinen,Pop
Seiyu,Pop
Semarang indie,Alternative/Indie
Semba,World/Traditional
Senegalese traditional,World/Traditional
Sephardic,World/Traditional
Serbian alternative rock,Alternative/Indie
Serbian electronic,House & EDM
Serbian folk,Folk/Acoustic
Serbian hip hop,Hip Hop/Rap
Serbian indie,Alternative/Indie
Serbian metal,Metal
Serenade,Classical/Orchestral
Seresta,Latin
Serial,Classical/Orchestral
Serialism,Classical/Orchestral
Sermon,Novelty/Spoken Word
Sertanejo,Latin
Sertanejo gospel,Latin
Sertanejo pop,Latin
Sertanejo tradicional,Latin
Sertanejo universitario,Latin
Sesotho hip hop,Hip Hop/Rap
Sesotho pop,Pop
Sevdah,World/Traditional
Sevilla indie,Alternative/Indie
Sevillanas,World/Traditional
Seychelles pop,Pop
Shaabi,World/Traditional
Shabad,World/Traditional
Shakuhachi,World/Traditional
Shamanic,New Age/Meditation
Shamisen,World/Traditional
Shanghai indie,Alternative/Indie
Shanty,Folk/Acoustic
Shantykoren,Folk/Acoustic
Shatta,World/Traditional
Sheffield indie,Alternative/Indie
Shehnai,World/Traditional
Sheilat,World/Traditional
Shib,Other
Shibuya-kei,Pop
Shidaiqu,Pop
Shimmer pop,Pop
Shimmer psych,Rock
Shinkyoku,World/Traditional
Shiver pop,Pop
Shoegaze,Alternative/Indie
Shoegaze brasileiro,Alternative/Indie
Shoegaze chileno,Alternative/Indie
Shoegazer,Alternative/Indie
Shojo,Pop
Sholawat,World/Traditional
Shomyo,World/Traditional
Shonen,Pop
Show tunes,Soundtrack/Instrumental
Shred,Metal
Shush,Other
Siberian folk,Folk/Acoustic
Sierra leonean pop,Pop
Sierreno,Latin
Sigilkore,Hip Hop/Rap
Sinaloa indie,Alternative/Indie
Sindhi,World/Traditional
Singaporean electronic,House & EDM
Singaporean hip hop,Hip Hop/Rap
Singaporean indie,Alternative/Indie
Singaporean mandopop,Pop
Singaporean metal,Metal
Singaporean pop,Pop
Singaporean punk,Punk/Hardcore
Singaporean singer-songwriter,Folk/Acoustic
Singeli,World/Traditional
Singer-songwriter,Folk/Acoustic
Singing bowl,New Age/Meditation
Singspiel,Classical/Orchestral
Sinhala edm,House & EDM
Sinhala indie,Alternative/Indie
Sinhala pop,Pop
Sinhala rap,Hip Hop/Rap
Sinogaze,Alternative/Indie
Sitar,World/Traditional
Ska,Reggae/Caribbean
Ska argentino,Reggae/Caribbean
Ska catala,Reggae/Caribbean
Ska chileno,Reggae/Caribbean
Ska espanol,Reggae/Caribbean
Ska jazz,Jazz
Ska mexicano,Reggae/Caribbean
Ska punk,Punk/Hardcore
Ska revival,Reggae/Caribbean
Skansk musik,Folk/Acoustic
Skate punk,Punk/Hardcore
Skiffle,Folk/Acoustic
Skinhead oi,Punk/Hardcore
Skramz,Metal
Skweee,Ambient & Experimental Electronic
Sky room,Ambient & Experimental Electronic
Slack-key guitar,World/Traditional
Slam death metal,Metal
Slam poetry,Novelty/Spoken Word
Slamming deathcore,Metal
Slap house,House & EDM
Slash punk,Punk/Hardcore
Slavic folk metal,Metal
Slavic metal,Metal
Slayer,Metal
Slc hardcore,Punk/Hardcore
Slc indie,Alternative/Indie
Sleaze rock,Rock
Sleep,New Age/Meditation
Slovak electronic,House & EDM
Slovak folk,Folk/Acoustic
Slovak hip hop,Hip Hop/Rap
Slovak indie,Alternative/Indie
Slovak metal,Metal
Slovak pop,Pop
Slovak punk,Punk/Hardcore
Slovak rock,Rock
Slovak trap,Hip Hop/Rap
Slovenian electronic,House & EDM
Slovenian folk,Folk/Acoustic
Slovenian hip hop,Hip Hop/Rap
Slovenian indie,Alternative/Indie
Slovenian metal,Metal
Slovenian pop,Pop
Slovenian rock,Rock
Slovenske chvaly,R&B/Soul
Slow game,Ambient & Experimental Electronic
Slowcore,Alternative/Indie
Slowed and reverb,Hip Hop/Rap
Sludge metal,Metal
Sludgecore,Metal
Slushwave,Ambient & Experimental Electronic
Small room,Alternative/Indie
Smooth jazz,Jazz
Smooth saxophone,Jazz
Smooth soul,R&B/Soul
Smutny rap,Hip Hop/Rap
Snap,Hip Hop/Rap
Soca,Reggae/Caribbean
Socal indie,Alternative/Indie
Socal pop punk,Punk/Hardcore
Social media pop,Pop
Soda pop,Pop
Soft rock,Rock
Sokyoku,World/Traditional
Solipsynthm,Ambient & Experimental Electronic
Solo,Classical/Orchestral
Solo wave,Pop
Solomon islands pop,Pop
Somali pop,Pop
Somatik techno,Techno & Trance
Son,Latin
Son cubano,Latin
Son cubano clasico,Latin
Son jarocho,Latin
Son montuno,Latin
Sonata,Classical/Orchestral
Sonero,Latin
Song poem,Pop
Sonora indie,Alternative/Indie
Sophisti-pop,Pop
Sorani pop,Pop
Sotalaulut,Folk/Acoustic
Soukous,World/Traditional
Soul,R&B/Soul
Soul blues,Blues
Soul flow,R&B/Soul
Soul jazz,Jazz
Soul-jazz,Jazz
Souldies,R&B/Soul
Soulful house,House & EDM
Sound,New Age/Meditation
Sound art,Ambient & Experimental Electronic
Sound collage,Ambient & Experimental Electronic
Sound effects,Other
Sound poetry,Novelty/Spoken Word
Sound team,Soundtrack/Instrumental
Soundtrack,Soundtrack/Instrumental
South african alternative,Alternative/Indie
South african choral,Classical/Orchestral
South african country,Country/Americana
South african deep house,House & EDM
South african electronic,House & EDM
South african gospel,R&B/Soul
South african hip hop,Hip Hop/Rap
South african house,House & EDM
South african jazz,Jazz
South african metal,Metal
South african modern jazz,Jazz
South african pop,Pop
South african pop dance,Pop
South african punk,Punk/Hardcore
South african r&b,R&B/Soul
South african rock,Rock
South african trap,Hip Hop/Rap
South african underground rap,Hip Hop/Rap
South asian metal,Metal
South carolina hip hop,Hip Hop/Rap
South carolina indie,Alternative/Indie
South carolina metal,Metal
South dakota indie,Alternative/Indie
South sudanese pop,Pop
Southampton indie,Alternative/Indie
Southeast asian post-rock,Alternative/Indie
Southern americana,Country/Americana
Southern china indie,Alternative/Indie
Southern gospel,R&B/Soul
Southern hip hop,Hip Hop/Rap
Southern metal,Metal
Southern rock,Rock
Southern soul,R&B/Soul
Southern soul blues,R&B/Soul
Soviet synthpop,Pop
Sovietwave,Ambient & Experimental Electronic
Spa,New Age/Meditation
Space age pop,Pop
Space ambient,Ambient & Experimental Electronic
Space rock,Rock
Space-age,Ambient & Experimental Electronic
Spacegrunge,Rock
Spacesynth,Ambient & Experimental Electronic
Spacewave,Ambient & Experimental Electronic
Spanish baroque,Classical/Orchestral
Spanish black metal,Metal
Spanish blues,Blues
Spanish classical,Classical/Orchestral
Spanish classical piano,Classical/Orchestral
Spanish contemporary classical,Classical/Orchestral
Spanish death metal,Metal
Spanish electronic,House & EDM
Spanish electropop,Pop
Spanish experimental,Alternative/Indie
Spanish folk,Folk/Acoustic
Spanish folk metal,Metal
Spanish folk rock,Rock
Spanish hip hop,Hip Hop/Rap
Spanish indie folk,Folk/Acoustic
Spanish indie pop,Pop
Spanish indie rock,Alternative/Indie
Spanish invasion,Pop
Spanish jazz,Jazz
Spanish metal,Metal
Spanish modern rock,Rock
Spanish new wave,Rock
Spanish noise pop,Pop
Spanish pop,Pop
Spanish pop rock,Rock
Spanish post-punk,Rock
Spanish post-rock,Alternative/Indie
Spanish prog,Rock
Spanish progressive rock,Rock
Spanish psychedelic rock,Rock
Spanish punk,Punk/Hardcore
Spanish reggae,Reggae/Caribbean
Spanish renaissance,Classical/Orchestral
Spanish rock,Rock
Spanish rockabilly,Rock
Spanish stoner rock,Rock
Spanish synthpop,Pop
Spanish techno,Techno & Trance
Spaza,World/Traditional
Special effects,Other
Spectra,Ambient & Experimental Electronic
Spectralism,Classical/Orchestral
Sped up,Other
Speech,Novelty/Spoken Word
Speed garage,Garage & Breaks
Speed metal,Metal
Speed up turkce,Pop
Speedcore,Garage & Breaks
Speedrun,Other
Spiritual hip hop,Hip Hop/Rap
Spiritual jazz,Jazz
Spirituals,R&B/Soul
Spoken word,Novelty/Spoken Word
Sport,Other
Springfield mo indie,Alternative/Indie
Spytrack,Soundtrack/Instrumental
St louis drill,Hip Hop/Rap
St louis rap,Hip Hop/Rap
St petersburg fl indie,Alternative/Indie
Staff band,Classical/Orchestral
Stage & screen,Soundtrack/Instrumental
Starogradska,World/Traditional
Stateside dnb,Bass Music
Steampunk,Ambient & Experimental Electronic
Steel band,Reggae/Caribbean
Steel guitar,Country/Americana
Steelpan,Reggae/Caribbean
Stl indie,Alternative/Indie
Stockholm indie,Alternative/Indie
Stomp and flutter,Folk/Acoustic
Stomp and holler,Folk/Acoustic
Stomp and whittle,Folk/Acoustic
Stomp pop,Pop
Stoner metal,Metal
Stoner rock,Rock
Story,Novelty/Spoken Word
Straight edge,Punk/Hardcore
Straight-ahead jazz,Jazz
Streektaal,Pop
Street band,Pop
Street punk,Punk/Hardcore
Street punk espanol,Punk/Hardcore
Streichquartett,Classical/Orchestral
Stride,Jazz
String band,Folk/Acoustic
String ensemble,Classical/Orchestral
String folk,Folk/Acoustic
String instrument,Classical/Orchestral
String orchestra,Classical/Orchestral
String quartet,Classical/Orchestral
Strut,Hip Hop/Rap
Stubenmusik,Folk/Acoustic
Study beats,Hip Hop/Rap
Stuttgart indie,Alternative/Indie
Style galant,Classical/Orchestral
Substep,Bass Music
Sudanese hip hop,Hip Hop/Rap
Sudanese pop,Pop
Sufi,World/Traditional
Sufi chant,World/Traditional
Suite,Classical/Orchestral
Sulawesi indie,Alternative/Indie
Sundanese traditional,World/Traditional
Sung poetry,Folk/Acoustic
Sungura,World/Traditional
Sunnlensk tonlist,Pop
Sunset lounge,Pop
Sunshine pop,Pop
Suomi rock,Rock
Suomirap,Hip Hop/Rap
Suomisaundi,Ambient & Experimental Electronic
Super eurobeat,Pop
Supergroup,Rock
Surabaya indie,Alternative/Indie
Surf,Rock
Surf music,Rock
Surf punk,Punk/Hardcore
Surinamese hip hop,Hip Hop/Rap
Surinamese pop,Pop
Svensk indie,Alternative/Indie
Svensk lovsang,R&B/Soul
Svensk progg,Rock
Swahili gospel,R&B/Soul
Swamp blues,Blues
Swamp pop,Country/Americana
Swamp rock,Rock
Swancore,Metal
Swansea indie,Alternative/Indie
Swazi pop,Pop
Swazi traditional,World/Traditional
Swedish alternative rock,Alternative/Indie
Swedish americana,Country/Americana
Swedish black metal,Metal
Swedish blues,Blues
Swedish choir,Classical/Orchestral
Swedish classical,Classical/Orchestral
Swedish contemporary classical,Classical/Orchestral
Swedish country,Country/Americana
Swedish dancehall,Reggae/Caribbean
Swedish death metal,Metal
Swedish doom metal,Metal
Swedish drill,Hip Hop/Rap
Swedish ebm,Ambient & Experimental Electronic
Swedish electronic,House & EDM
Swedish electropop,Pop
Swedish emo,Punk/Hardcore
Swedish eurodance,House & EDM
Swedish experimental,Alternative/Indie
Swedish fiddle,Folk/Acoustic
Swedish folk pop,Folk/Acoustic
Swedish gangsta rap,Hip Hop/Rap
Swedish garage rock,Rock
Swedish grindcore,Metal
Swedish hard rock,Rock
Swedish hardcore,Punk/Hardcore
Swedish heavy metal,Metal
Swedish hip hop,Hip Hop/Rap
Swedish house,House & EDM
Swedish idol pop,Pop
Swedish indie folk,Folk/Acoustic
Swedish indie pop,Pop
Swedish indie rock,Alternative/Indie
Swedish jazz,Jazz
Swedish jazz orkester,Jazz
Swedish melodeath,Metal
Swedish melodic rock,Rock
Swedish metal,Metal
Swedish metalcore,Metal
Swedish pop,Pop
Swedish pop punk,Punk/Hardcore
Swedish pop rap,Hip Hop/Rap
Swedish post-hardcore,Punk/Hardcore
Swedish post-punk,Rock
Swedish power metal,Metal
Swedish prog,Rock
Swedish progressive metal,Metal
Swedish psychedelic rock,Rock
Swedish punk,Punk/Hardcore
Swedish reggae,Reggae/Caribbean
Swedish rock-and-roll,Rock
Swedish rockabilly,Rock
Swedish singer-songwriter,Folk/Acoustic
Swedish soul,R&B/Soul
Swedish stoner rock,Rock
Swedish synth,Pop
Swedish synthpop,Pop
Swedish techno,Techno & Trance
Swedish trap,Hip Hop/Rap
Swedish trap pop,Pop
Swedish tropical house,House & EDM
Swedish underground rap,Hip Hop/Rap
Swing,Jazz
Swing italiano,Jazz
Swing revival,Jazz
Swingbeat,R&B/Soul
Swiss alternative rock,Alternative/Indie
Swiss black metal,Metal
Swiss classical piano,Classical/Orchestral
Swiss contemporary classical,Classical/Orchestral
Swiss country,Country/Americana
Swiss experimental,Alternative/Indie
Swiss folk,Folk/Acoustic
Swiss hip hop,Hip Hop/Rap
Swiss house,House & EDM
Swiss indie,Alternative/Indie
Swiss indie folk,Folk/Acoustic
Swiss jazz,Jazz
Swiss metal,Metal
Swiss pop,Pop
Swiss punk,Punk/Hardcore
Swiss reggae,Reggae/Caribbean
Swiss rock,Rock
Swiss singer-songwriter,Folk/Acoustic
Swiss techno,Techno & Trance
Swiss trap,Hip Hop/Rap
Swiss worship,R&B/Soul
Sydney indie,Alternative/Indie
Symfonicky orchestr,Classical/Orchestral
Symphonic black metal,Metal
Symphonic death metal,Metal
Symphonic deathcore,Metal
Symphonic melodic death metal,Metal
Symphonic metal,Metal
Symphonic power metal,Metal
Symphonic rock,Rock
Symphony,Classical/Orchestral
Synth funk,Funk/Disco
Synth punk,Punk/Hardcore
Synth-pop,Pop
Synthesizer,Ambient & Experimental Electronic
Synthetic classical,Classical/Orchestral
Synthpop,Pop
Synthpunk,Punk/Hardcore
Synthwave,Pop
Synthwave brasileiro,Pop
Syrian hip hop,Hip Hop/Rap
Syrian pop,Pop
Syro-aramaic chant,Classical/Orchestral
Szanty,Folk/Acoustic
Sã¡mi music,World/Traditional
Sã©ga,Reggae/Caribbean
T-pop girl group,Pop
Taarab,World/Traditional
Tabla,World/Traditional
Tagalog rap,Hip Hop/Rap
Tagalog worship,R&B/Soul
Tahitian traditional,World/Traditional
Taiko,World/Traditional
Taiwan campus folk,Folk/Acoustic
Taiwan classical performance,Classical/Orchestral
Taiwan electronic,House & EDM
Taiwan experimental,Alternative/Indie
Taiwan graduation song,Pop
Taiwan hip hop,Hip Hop/Rap
Taiwan idol pop,Pop
Taiwan indie,Alternative/Indie
Taiwan instrumental,Soundtrack/Instrumental
Taiwan metal,Metal
Taiwan pop,Pop
Taiwan post-rock,Alternative/Indie
Taiwan punk,Punk/Hardcore
Taiwan rock,Rock
Taiwan singer-songwriter,Folk/Acoustic
Taiwanese indie,Alternative/Indie
Taiwanese indigenous,World/Traditional
Taiwanese pop,Pop
Tajik pop,Pop
Tajik traditional,World/Traditional
Talent show,Pop
Talentkonkurranse,Pop
Talentos brasileiros,Pop
Talentschau,Pop
Tallava,World/Traditional
Tamaulipas indie,Alternative/Indie
Tamaulipas rap,Hip Hop/Rap
Tamazight,World/Traditional
Tamborazo,Latin
Tamburica,World/Traditional
Tamburitza,World/Traditional
Tamil devotional,World/Traditional
Tamil film music,Soundtrack/Instrumental
Tamil hip hop,Hip Hop/Rap
Tamil indie,Alternative/Indie
Tamil pop,Pop
Tamil worship,R&B/Soul
Tampa indie,Alternative/Indie
Tanci,World/Traditional
Tango,Latin
Tango cancion,Latin
Tanzanian hip hop,Hip Hop/Rap
Tanzanian pop,Pop
Tanzanian traditional,World/Traditional
Tanzlmusi,Folk/Acoustic
Tanzorchester,Pop
Tape club,Ambient & Experimental Electronic
Tar,World/Traditional
Taraneem,World/Traditional
Tarantella,Folk/Acoustic
Tassie indie,Alternative/Indie
Tatar folk,Folk/Acoustic
Tatar pop,Pop
Tavern,Folk/Acoustic
Te deum,Classical/Orchestral
Tech house,House & EDM
Tech trance,Techno & Trance
Technical,Metal
Technical black metal,Metal
Technical brutal death metal,Metal
Technical death metal,Metal
Technical deathcore,Metal
Technical grindcore,Metal
Technical groove metal,Metal
Technical melodic death metal,Metal
Technical thrash,Metal
Techno,Techno & Trance
Techno argentina,Techno & Trance
Techno kayo,Techno & Trance
Techno rave,Techno & Trance
Tecnobanda,Latin
Tecnobrega,Latin
Teen pop,Pop
Tejano,Latin
Tekk,Techno & Trance
Tekno,Techno & Trance
Telugu devotional,World/Traditional
Telugu folk,Folk/Acoustic
Telugu hip hop,Hip Hop/Rap
Telugu indie,Alternative/Indie
Telugu remix,Pop
Telugu worship,R&B/Soul
Tempe indie,Alternative/Indie
Tennessee experimental,Alternative/Indie
Tennessee hip hop,Hip Hop/Rap
Tennessee metal,Metal
Terrorcore,Metal
Tex-mex,Latin
Texas blues,Blues
Texas country,Country/Americana
Texas hardcore,Punk/Hardcore
Texas latin rap,Hip Hop/Rap
Texas metal,Metal
Texas pop punk,Punk/Hardcore
Texas punk,Punk/Hardcore
Thai classical,Classical/Orchestral
Thai folk,Folk/Acoustic
Thai folk pop,Pop
Thai folk rock,Rock
Thai hip hop,Hip Hop/Rap
Thai idol,Pop
Thai indie,Alternative/Indie
Thai indie pop,Pop
Thai indie rock,Alternative/Indie
Thai instrumental,Soundtrack/Instrumental
Thai metal,Metal
Thai pop,Pop
Thai pop rap,Hip Hop/Rap
Thai psychedelic,Rock
Thai rock,Rock
Thai teen pop,Pop
Thai traditional,World/Traditional
Thai trap,Hip Hop/Rap
Thai viral pop,Pop
Thai worship,R&B/Soul
Thall,Metal
Theme,Soundtrack/Instrumental
Theme with variations,Classical/Orchestral
Therapy,New Age/Meditation
Theremin,Ambient & Experimental Electronic
Thrash,Metal
Thrash core,Metal
Thrash metal,Metal
Thrash-groove metal,Metal
Throat singing,World/Traditional
Thug rap,Hip Hop/Rap
Tibetan folk pop,World/Traditional
Tibetan hip hop,Hip Hop/Rap
Tibetan mantra,World/Traditional
Tibetan pop,Pop
Tibetan traditional,World/Traditional
Tierra caliente,Latin
Tigrigna pop,Pop
Tijuana electronic,House & EDM
Tijuana indie,Alternative/Indie
Timba,Latin
Tin pan alley,Pop
Tipico,Latin
Toasting,Reggae/Caribbean
Togolese pop,Pop
Tolkien metal,Metal
Tollywood,Soundtrack/Instrumental
Tololoche,Latin
Tone,Ambient & Experimental Electronic
Tone poem,Classical/Orchestral
Tongan pop,Pop
Torch song,Pop
Toronto indie,Alternative/Indie
Toronto rap,Hip Hop/Rap
Touhou,Soundtrack/Instrumental
Trad jazz catala,Jazz
Trad quebecois,Folk/Acoustic
Traditional bluegrass,Country/Americana
Traditional blues,Blues
Traditional british folk,Folk/Acoustic
Traditional country,Country/Americana
Traditional english folk,Folk/Acoustic
Traditional folk,Folk/Acoustic
Traditional funk,Funk/Disco
Traditional irish singing,Folk/Acoustic
Traditional reggae,Reggae/Caribbean
Traditional rockabilly,Rock
Traditional scottish folk,Folk/Acoustic
Traditional ska,Reggae/Caribbean
Traditional soul,R&B/Soul
Traditional southern folk,Folk/Acoustic
Trallalero,World/Traditional
Trance,Techno & Trance
Trance brasileiro,Techno & Trance
Trance mexicano,Techno & Trance
